Id,Offset,Name,TipMessage,Comment,NameByCN,NameByEN,NameByVI
1,22500,X轴_未使能,,,X轴_未使能,Xaxis not enabled prompt,
2,22501,X轴_指令报错,,,X轴_指令报错,Loading axis 2 instruction error,
3,22502,X轴_正极限,,,X轴_正极限,Xaxis_positive limit,
4,22503,X轴_负极限,,,X轴_负极限,Xaxis_negative limit,
5,22504,X轴_JOG安全条件报警,,,X轴_JOG安全条件报警,Xaxis JOG safety condition alarm,
6,22505,X轴_PTP安全条件报警,,,X轴_PTP安全条件报警,Xaxis PTP safety condition alarm,
7,22506,X轴_手自动不一致,,,X轴_手自动不一致,Xaxis_hand automatic inconsistency,
8,22507,Y轴_未使能,,,Y轴_未使能,Yaxis not enabled prompt,
9,22508,Y轴_指令报错,,,Y轴_指令报错,Loading axis 2 instruction error,
10,22509,Y轴_正极限,,,Y轴_正极限,Yaxis positive limit,
11,22510,Y轴_负极限,,,Y轴_负极限,Yaxis  Negative Limit,
12,22511,Y轴_JOG安全条件报警,,,Y轴_JOG安全条件报警,Yaxis JOG safety condition alarm,
13,22512,Y轴_PTP安全条件报警,,,Y轴_PTP安全条件报警,Yaxis PTP safety condition alarm,
14,22513,Y轴_手自动不一致,,,Y轴_手自动不一致,Yaxis automatic inconsistency,
15,22514,Z轴_未使能,,,Z轴_未使能,Zaxis not enabled prompt,
16,22515,待定1,,,待定1,Yaxis not enabled prompt,
17,22516,Z轴_正极限,,,Z轴_正极限,Zaxis positive limit,
18,22517,待定2,,,待定2,Zaxis_negative limit,
19,22518,Z轴_JOG安全条件报警,,,Z轴_JOG安全条件报警,Zaxis JOG safety condition alarm,
20,22519,Z轴_PTP安全条件报警,,,Z轴_PTP安全条件报警,Zaxis PTP safety condition alarm,
21,22520,Z轴_手自动不一致,,,Z轴_手自动不一致,Zaxis automatic inconsistency,
22,22521,龙门轴1_未使能,,,龙门轴1_未使能,Loading axis 2h not enabled prompt,
23,22522,龙门轴1_指令报错,,,龙门轴1_指令报错,Loading axis 2 instruction error,
24,22523,龙门轴1_正极限,,,龙门轴1_正极限,Loading axis 2positive limit,
25,22524,龙门轴1_负极限,,,龙门轴1_负极限,Loading axis 2negative limit,
26,22525,龙门轴1_JOG安全条件报警,,,龙门轴1_JOG安全条件报警,Feeding shaft 2JOG safety condition alarm,
27,22526,龙门轴1_PTP安全条件报警,,,龙门轴1_PTP安全条件报警,Feeding axis 2PTP safety condition alarm,
28,22527,龙门轴1_手自动不一致,,,龙门轴1_手自动不一致,The feeding axis is not consistent between manual and automatic modes,
29,22528,龙门轴2_未使能,,,龙门轴2_未使能,Camera adjustment step axis not enabled prompt,
