Name,DataDir,Offset,DataType,Description,InitExpress
上位机心跳,PC->PLC,21000,short,0-1跳变 1S间隔,
上位机状态,PC->PLC,21001,short,1=就绪，2=故障,
上位机错误码,PC->PLC,21002,long,"1=扫码枪未连接,2=MES未连接 ,3=IOT未连接,4=EAP未连接,5=打印机未连接",
工位1允许生产,PC->PLC,21005,short,"1=允许生产,2=扫码未通过,3=配方未响应,4=物料需更换",
工位2允许生产,PC->PLC,21006,short,"1=允许生产,2=扫码未通过,3=配方未响应,4=物料需更换",
上位机当前配方ID,PC->PLC,21010,short,上位机下发到PLC的配方ID,
配方上报请求,PC->PLC,21011,short,"1=请求,0=无请求",
配方下发请求,PC->PLC,21012,short,"1=请求,0=无请求",
工位1数据上报响应,PC->PLC,21015,short,"1=OK,2=NG",
工位2数据上报响应,PC->PLC,21016,short,"1=OK,2=NG",
扫码枪1触发结果,PC->PLC,21020,short,"1=OK,2=扫码枪连接错误,3=MES返回错误",
扫码枪2触发结果,PC->PLC,21021,short,"1=OK,2=扫码枪连接错误,3=MES返回错误",
工位1生产序号,PC->PLC,21024,int,PLC不用，视觉用,
工位2生产序号,PC->PLC,21026,int,PLC不用，视觉用,
打印机1触发结果,PC->PLC,21027,short,1=触发,
打印机2触发结果,PC->PLC,21028,short,1=触发,
物料1启用状态,PC->PLC,21040,short,0不用，1启用,
物料2启用状态,PC->PLC,21041,short,0不用，2启用,
物料3启用状态,PC->PLC,21042,short,0不用，3启用,
物料4启用状态,PC->PLC,21043,short,0不用，4启用,
物料5启用状态,PC->PLC,21044,short,0不用，5启用,
物料6启用状态,PC->PLC,21045,short,0不用，6启用,
吸头点检完成时间,PC->PLC,4030,long,PLC不用，PC记录用,
工单号PC下发,PC->PLC,21100,short,,
工号PC下发,PC->PLC,21140,short,,
扫码枪1扫码内容,PC->PLC,21380,short,40字 视觉用,
扫码枪2扫码内容,PC->PLC,21340,short,40字 视觉用,
Feeder1PC下发料号,PLC->PC,21200,int,,
Feeder1PC下发物料上料数量,PLC->PC,21202,int,,
Feeder1解锁请求,PC->PLC,21208,short,预留,
Feeder1换料请求,PC->PLC,21209,short,"1=查询是否允许换料,2=换料中,3=换料完成",
Feeder2PC下发料号,PLC->PC,21220,int,,
Feeder2PC下发物料上料数量,PLC->PC,21222,int,,
Feeder2解锁请求,PC->PLC,21228,short,预留,
Feeder2换料请求,PC->PLC,21229,short,"1=查询是否允许换料,2=换料中,3=换料完成",
Feeder3PC下发料号,PLC->PC,21240,int,,
Feeder3PC下发物料上料数量,PLC->PC,21242,int,,
Feeder3解锁请求,PC->PLC,21248,short,预留,
Feeder3换料请求,PC->PLC,21249,short,"1=查询是否允许换料,2=换料中,3=换料完成",
Feeder4PC下发料号,PLC->PC,21260,int,,
Feeder4PC下发物料上料数量,PLC->PC,21262,int,,
Feeder4解锁请求,PC->PLC,21268,short,预留,
Feeder4换料请求,PC->PLC,21269,short,"1=查询是否允许换料,2=换料中,3=换料完成",
Feeder5PC下发料号,PLC->PC,21280,int,,
Feeder5PC下发物料上料数量,PLC->PC,21282,int,,
Feeder5解锁请求,PC->PLC,21288,short,预留,
Feeder5换料请求,PC->PLC,21289,short,"1=查询是否允许换料,2=换料中,3=换料完成",
Feeder6PC下发料号,PLC->PC,21300,int,,
Feeder6PC下发物料上料数量,PLC->PC,21302,int,,
Feeder6解锁请求,PC->PLC,21308,short,预留,
Feeder6换料请求,PC->PLC,21309,short,"1=查询是否允许换料,2=换料中,3=换料完成",
吸头1点检结果,PC->PLC,21800,short,"1=OK,2=NG",
吸头2点检结果,PC->PLC,21810,short,"1=OK,2=NG",
吸头3点检结果,PC->PLC,21820,short,"1=OK,2=NG",
吸头4点检结果,PC->PLC,21830,short,"1=OK,2=NG",
吸头5点检结果,PC->PLC,21840,short,"1=OK,2=NG",
吸头6点检结果,PC->PLC,21850,short,"1=OK,2=NG",
吸头7点检结果,PC->PLC,21860,short,"1=OK,2=NG",
吸头8点检结果,PC->PLC,21870,short,"1=OK,2=NG",
吸头9点检结果,PC->PLC,21880,short,"1=OK,2=NG",
吸头10点检结果,PC->PLC,21890,short,"1=OK,2=NG",
